CustomerID,Lookalike1_ID,Lookalike1_Score,Lookalike2_ID,Lookalike2_Score,Lookalike3_ID,Lookalike3_Score
C0001,C0091,0.7379,C0184,0.7016,C0192,0.6602
C0002,C0159,0.8948,C0134,0.8759,C0083,0.7923
C0003,C0085,0.755,C0031,0.6747,C0026,0.6005
C0004,C0075,0.8896,C0113,0.8575,C0104,0.8272
C0005,C0007,0.8903,C0140,0.8178,C0197,0.7878
C0006,C0185,0.7491,C0187,0.6896,C0138,0.6614
C0007,C0005,0.8903,C0140,0.7783,C0080,0.7075
C0008,C0109,0.843,C0098,0.8313,C0024,0.8211
C0009,C0060,0.9169,C0077,0.8812,C0121,0.8638
C0010,C0132,0.8253,C0198,0.813,C0083,0.7743
C0011,C0107,0.6855,C0099,0.6836,C0188,0.6643
C0012,C0195,0.8742,C0059,0.8025,C0163,0.7996
C0013,C0099,0.8991,C0046,0.8387,C0141,0.8105
C0014,C0058,0.9618,C0180,0.9575,C0097,0.9474
C0015,C0033,0.8936,C0123,0.8497,C0095,0.8447
C0016,C0117,0.6397,C0183,0.5813,C0126,0.5435
C0017,C0075,0.91,C0051,0.8135,C0065,0.808
C0018,C0087,0.7639,C0114,0.7477,C0183,0.675
C0019,C0119,0.6795,C0121,0.6319,C0010,0.5752
C0020,C0110,0.9324,C0080,0.9165,C0058,0.9059
